"Ref_Date","GEO","Geographical_classification","VIOLATIONS","sum_Value_Actual_incidents","sum_Value_Cleared_by_charge","sum_Value_Cleared_otherwise","sum_Value_Percentage_change_in_rate","sum_Value_Rate_per_100_000_population","sum_Value_Rate_adult_charged_per_100_000_population_aged_18_years_and_over","sum_Value_Rate_total_persons_charged_per_100_000_population_aged_12_years_and_over","sum_Value_Rate_youth_charged_per_100_000_population_aged_12_to_17_years","sum_Value_Rate_youth_not_charged_per_100_000_population_aged_12_to_17_years","sum_Value_Total_cleared","sum_Value_Total_adult_charged","sum_Value_Total_persons_charged","sum_Value_Total_youth_charged","sum_Value_Total_youth_not_charged"
"2006","Calgary, Alberta, municipal","48014","Invitation to sexual touching","1","1","0","-3.04","0.1","0.12","0.11","0","0","1","1","1","0","0"
"2007","Calgary, Alberta, municipal","48014","Invitation to sexual touching","2","0","1","95.2","0.19","0","0","0","1.29","1","0","0","0","1"
"2008","Calgary, Alberta, municipal","48014","Invitation to sexual touching","3","1","0","46.33","0.28","0.12","0.11","0","0","1","1","1","0","0"
"2009","Calgary, Alberta, municipal","48014","Invitation to sexual touching","9","2","0","192.47","0.81","0.11","0.1","0","0","2","1","1","0","0"
"2010","Calgary, Alberta, municipal","48014","Invitation to sexual touching","12","8","4","31.37","1.07","0.45","0.52","1.28","1.28","12","4","5","1","1"
"2011","Calgary, Alberta, municipal","48014","Invitation to sexual touching","6","2","0","-50.78","0.53","0.11","0.2","1.28","0","2","1","2","1","0"
"2012","Calgary, Alberta, municipal","48014","Invitation to sexual touching","5","2","2","-19.16","0.42","0.11","0.1","0","2.54","4","1","1","0","2"
"2013","Calgary, Alberta, municipal","48014","Invitation to sexual touching","10","2","3","92.99","0.82","0.1","0.1","0","2.53","5","1","1","0","2"
"2014","Calgary, Alberta, municipal","48014","Invitation to sexual touching","11","2","4","6.42","0.87","0.2","0.18","0","1.26","6","2","2","0","1"
"2015","Calgary, Alberta, municipal","48014","Invitation to sexual touching","11","5","0","-2.13","0.85","0.29","0.36","1.25","0","5","3","4","1","0"
"2016","Calgary, Alberta, municipal","48014","Invitation to sexual touching","16","5","1","42.06","1.21","0.29","0.35","1.22","1.22","6","3","4","1","1"
"2003","Calgary, Alberta, municipal","48014","Sexual exploitation","1","1","0","0","0.11","0","0","0","0","1","1","1","0","0"
"2004","Calgary, Alberta, municipal","48014","Sexual exploitation","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2005","Calgary, Alberta, municipal","48014","Sexual exploitation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Calgary, Alberta, municipal","48014","Sexual exploitation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Calgary, Alberta, municipal","48014","Sexual exploitation","1","1","0","0","0.09","0.12","0.11","0","0","1","1","1","0","0"
"2008","Calgary, Alberta, municipal","48014","Sexual exploitation","6","4","0","485.31","0.56","0.47","0.43","0","0","4","4","4","0","0"
"2009","Calgary, Alberta, municipal","48014","Sexual exploitation","5","1","1","-18.76","0.45","0.11","0.1","0","0","2","1","1","0","0"
"2010","Calgary, Alberta, municipal","48014","Sexual exploitation","3","5","0","-40.88","0.27","0.11","0.1","0","0","5","1","1","0","0"
"2011","Calgary, Alberta, municipal","48014","Sexual exploitation","1","2","0","-67.19","0.09","0.22","0.2","0","0","2","2","2","0","0"
"2012","Calgary, Alberta, municipal","48014","Sexual exploitation","1","1","0","-2.99","0.08","0","0","0","0","1","0","0","0","0"
"2013","Calgary, Alberta, municipal","48014","Sexual exploitation","2","0","1","92.99","0.16","0","0","0","0","1","0","0","0","0"
"2014","Calgary, Alberta, municipal","48014","Sexual exploitation","0","1","0","-100","0","0.1","0.09","0","0","1","1","1","0","0"
"2015","Calgary, Alberta, municipal","48014","Sexual exploitation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Calgary, Alberta, municipal","48014","Sexual exploitation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2006","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","8","1","1","0","0.62","0.1","0.09","0","1.25","2","1","1","0","1"
"2016","Calgary, Alberta, municipal","48014","Making sexually explicit material available to children","7","6","1","-14.55","0.53","0.38","0.44","1.22","1.22","7","4","5","1","1"
"2012","Calgary, Alberta, municipal","48014","Parent or guardian procuring sexual activity: person procured under the age of 16 years","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Calgary, Alberta, municipal","48014","Parent or guardian procuring sexual activity: person procured under the age of 16 years","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Calgary, Alberta, municipal","48014","Parent or guardian procuring sexual activity: person procured under the age of 16 years","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Calgary, Alberta, municipal","48014","Parent or guardian procuring sexual activity","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Calgary, Alberta, municipal","48014","Parent or guardian procuring sexual activity","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Calgary, Alberta, municipal","48014","Parent or guardian procuring sexual activity","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Calgary, Alberta, municipal","48014","Parent or guardian procuring sexual activity","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Calgary, Alberta, municipal","48014","Parent or guardian procuring sexual activity","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Calgary, Alberta, municipal","48014","Householder permitting illegal sexual activity: person under the age of 16 years","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Calgary, Alberta, municipal","48014","Householder permitting illegal sexual activity: person under the age of 16 years","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Calgary, Alberta, municipal","48014","Householder permitting illegal sexual activity: person under the age of 16 years","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Calgary, Alberta, municipal","48014","Householder permitting prohibited sexual activity","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Calgary, Alberta, municipal","48014","Householder permitting prohibited sexual activity","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Calgary, Alberta, municipal","48014","Householder permitting prohibited sexual activity","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Calgary, Alberta, municipal","48014","Householder permitting prohibited sexual activity","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Calgary, Alberta, municipal","48014","Householder permitting prohibited sexual activity","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1998","Calgary, Alberta, municipal","48014","Luring a child via a computer","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1999","Calgary, Alberta, municipal","48014","Luring a child via a computer","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2000","Calgary, Alberta, municipal","48014","Luring a child via a computer","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2001","Calgary, Alberta, municipal","48014","Luring a child via a computer","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2002","Calgary, Alberta, municipal","48014","Luring a child via a computer","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2003","Calgary, Alberta, municipal","48014","Luring a child via a computer","1","1","0","0","0.11","0","0","0","0","1","1","1","0","0"
"2004","Calgary, Alberta, municipal","48014","Luring a child via a computer","1","0","0","-2.99","0.1","0","0","0","0","0","0","0","0","0"
"2005","Calgary, Alberta, municipal","48014","Luring a child via a computer","1","0","0","-2.95","0.1","0","0","0","0","0","0","0","0","0"
"2006","Calgary, Alberta, municipal","48014","Luring a child via a computer","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2007","Calgary, Alberta, municipal","48014","Luring a child via a computer","5","0","2","0","0.47","0","0","0","1.29","2","0","0","0","1"
"2008","Calgary, Alberta, municipal","48014","Luring a child via a computer","10","6","2","95.1","0.93","0.47","0.43","0","0","8","4","4","0","0"
"2009","Calgary, Alberta, municipal","48014","Luring a child via a computer","14","4","2","36.48","1.26","0.46","0.42","0","0","6","4","4","0","0"
"2010","Calgary, Alberta, municipal","48014","Luring a child via a computer","13","8","3","-8.51","1.16","0.45","0.41","0","0","11","4","4","0","0"
"2011","Calgary, Alberta, municipal","48014","Luring a child via a computer","6","3","3","-54.57","0.53","0.33","0.31","0","0","6","3","3","0","0"
"2012","Calgary, Alberta, municipal","48014","Luring a child via a computer","10","4","3","61.68","0.85","0.43","0.4","0","0","7","4","4","0","0"
"2013","Calgary, Alberta, municipal","48014","Luring a child via a computer","14","5","2","35.1","1.15","0.41","0.38","0","0","7","4","4","0","0"
"2014","Calgary, Alberta, municipal","48014","Luring a child via a computer","20","6","1","38.21","1.59","0.5","0.46","0","0","7","5","5","0","0"
"2015","Calgary, Alberta, municipal","48014","Luring a child via a computer","30","10","1","46.8","2.33","0.59","0.54","0","0","11","6","6","0","0"
"2016","Calgary, Alberta, municipal","48014","Luring a child via a computer","21","6","0","-31.64","1.59","0.38","0.44","1.22","0","6","4","5","1","0"
"1998","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","55","43","1","0","6.54","0","0","0","0","44","44","53","9","0"
"1999","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","65","44","2","15.23","7.54","0","0","0","0","46","37","49","12","0"
"2000","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","65","56","1","-2.32","7.36","0","0","0","0","57","58","66","8","0"
"2001","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","81","54","2","21.92","8.98","0","0","0","0","56","48","57","9","0"
"2002","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","95","65","2","14.57","10.29","0","0","0","0","67","59","70","11","2"
"2003","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","116","93","2","20.2","12.36","0","0","0","0","95","91","114","23","0"
"2004","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","108","68","2","-9.68","11.17","9.04","10.5","25.06","2.64","70","68","87","19","2"
"2005","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","128","90","4","15.02","12.85","10.8","11.35","16.88","1.3","94","84","97","13","1"
"2006","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","104","73","5","-21.22","10.12","9.19","9.85","16.71","1.29","78","74","87","13","1"
"2007","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","131","84","4","22.94","12.44","9.41","10.04","16.77","2.58","88","78","91","13","2"
"2008","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","101","72","8","-24.79","9.36","7.63","8.82","22.02","0","80","65","82","17","0"
"2009","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","99","58","4","-4.44","8.94","6.39","6.5","7.74","1.29","62","56","62","6","1"
"2010","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","91","72","2","-9.43","8.1","7.66","8.18","14.11","0","74","68","79","11","0"
"2011","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","104","68","2","12.5","9.11","6.54","6.94","11.49","0","70","59","68","9","0"
"2012","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","91","61","3","-15.12","7.73","6.65","6.63","6.35","1.27","64","62","67","5","1"
"2013","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","102","78","1","8.16","8.36","8.27","7.93","3.79","0","79","80","83","3","0"
"2014","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","96","72","4","-8.94","7.62","7.48","7.49","7.55","0","76","75","81","6","0"
"2015","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","97","61","2","-1.12","7.53","6.05","6.34","9.97","0","63","62","70","8","0"
"2016","Calgary, Alberta, municipal","48014","Assault, level 3, aggravated","60","44","3","-39.59","4.55","3.82","3.63","1.22","1.22","47","40","41","1","1"
"1998","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1083","702","94","0","128.83","0","0","0","0","796","583","716","133","33"
"1999","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1057","672","131","-4.84","122.59","0","0","0","0","803","521","670","149","35"
"2000","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1166","643","184","7.76","132.1","0","0","0","0","827","525","647","122","59"
"2001","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1263","762","186","5.98","140","0","0","0","0","948","580","767","187","52"
"2002","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1154","677","146","-10.74","124.96","0","0","0","0","823","515","665","150","38"
"2003","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1397","788","194","19.17","148.91","0","0","0","0","982","554","732","178","98"
"2004","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1443","821","194","0.21","149.22","83.18","94.88","211.03","79.14","1015","626","786","160","60"
"2005","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1472","840","173","-1","147.73","78.28","91.93","229.8","72.7","1013","609","786","177","56"
"2006","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1582","796","159","4.2","153.94","73.27","82.9","182.49","84.82","955","590","732","142","66"
"2007","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1402","715","154","-13.5","133.15","63.6","74.82","194.83","65.8","869","527","678","151","51"
"2008","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1366","781","110","-4.95","126.55","69.35","76.29","152.87","57","891","591","709","118","44"
"2009","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1284","730","127","-8.36","115.97","60.52","66.93","139.26","36.1","857","530","638","108","28"
"2010","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1345","777","160","3.21","119.69","69.46","73.69","121.82","48.73","937","617","712","95","38"
"2011","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1235","654","142","-9.62","108.18","56.53","62.32","128.91","33.19","796","510","611","101","26"
"2012","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1194","605","98","-6.21","101.46","48.84","53.05","102.83","26.66","703","455","536","81","21"
"2013","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1311","631","134","5.95","107.5","54.34","56.44","82.1","39.16","765","526","591","65","31"
"2014","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1356","609","148","0.07","107.58","48.77","52.3","96.93","26.44","757","489","566","77","21"
"2015","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1496","763","172","7.97","116.15","56.34","59.13","94.71","33.65","935","577","653","76","27"
"2016","Calgary, Alberta, municipal","48014","Assault, level 2, weapon or bodily harm","1572","718","175","2.62","119.2","54.8","55.96","70.76","41.48","893","574","632","58","34"
"1998","Calgary, Alberta, municipal","48014","Assault, level 1","4266","2425","1130","0","507.45","0","0","0","0","3555","1908","2260","352","218"
"1999","Calgary, Alberta, municipal","48014","Assault, level 1","4539","2278","1511","3.74","526.44","0","0","0","0","3789","1731","2099","368","286"
"2000","Calgary, Alberta, municipal","48014","Assault, level 1","4944","2537","1728","6.4","560.13","0","0","0","0","4265","1994","2375","381","330"
"2001","Calgary, Alberta, municipal","48014","Assault, level 1","4715","2396","1634","-6.69","522.64","0","0","0","0","4030","1826","2199","373","284"
"2002","Calgary, Alberta, municipal","48014","Assault, level 1","4437","2312","1413","-8.07","480.47","0","0","0","0","3725","1745","2116","371","253"
"2003","Calgary, Alberta, municipal","48014","Assault, level 1","4439","2273","1372","-1.52","473.17","0","0","0","0","3645","1764","2005","241","372"
"2004","Calgary, Alberta, municipal","48014","Assault, level 1","4364","2195","1308","-4.63","451.29","226.02","241.43","394.37","407.55","3503","1701","2000","299","309"
"2005","Calgary, Alberta, municipal","48014","Assault, level 1","4195","2298","1097","-6.71","421","228.56","242.7","385.59","354.43","3395","1778","2075","297","273"
"2006","Calgary, Alberta, municipal","48014","Assault, level 1","3886","2155","929","-10.18","378.13","202.18","216.18","361.13","281.45","3084","1628","1909","281","219"
"2007","Calgary, Alberta, municipal","48014","Assault, level 1","3418","1781","803","-14.15","324.61","170.04","179.33","278.7","242.57","2584","1409","1625","216","188"
"2008","Calgary, Alberta, municipal","48014","Assault, level 1","3562","2027","665","1.66","330","189.28","198.85","304.44","217.64","2692","1613","1848","235","168"
"2009","Calgary, Alberta, municipal","48014","Assault, level 1","3641","1925","903","-0.35","328.85","176.2","182.63","255.31","198.58","2828","1543","1741","198","154"
"2010","Calgary, Alberta, municipal","48014","Assault, level 1","3800","1872","1078","2.83","338.17","163.24","170.24","250.05","200.04","2950","1450","1645","195","156"
"2011","Calgary, Alberta, municipal","48014","Assault, level 1","3729","1792","1026","-3.41","326.65","158.52","166.04","252.72","200.39","2818","1430","1628","198","157"
"2012","Calgary, Alberta, municipal","48014","Assault, level 1","3498","1628","880","-9","297.26","144.26","146.57","173.92","158.68","2508","1344","1481","137","125"
"2013","Calgary, Alberta, municipal","48014","Assault, level 1","3431","1542","841","-5.35","281.35","129.14","133.23","183.16","135.16","2383","1250","1395","145","107"
"2014","Calgary, Alberta, municipal","48014","Assault, level 1","4176","1616","1297","17.75","331.3","134.04","135.66","156.1","176.24","2913","1344","1468","124","140"
"2015","Calgary, Alberta, municipal","48014","Assault, level 1","4208","1740","1273","-1.38","326.71","143.35","143.62","147.05","184.44","3013","1468","1586","118","148"
"2016","Calgary, Alberta, municipal","48014","Assault, level 1","4527","1703","1429","5.07","343.26","136.72","135.65","121.99","165.91","3132","1432","1532","100","136"
"1998","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","212","209","2","0","25.22","0","0","0","0","211","174","198","24","1"
"1999","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","212","208","2","-2.5","24.59","0","0","0","0","210","166","181","15","0"
"2000","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","256","242","7","17.96","29","0","0","0","0","249","195","207","12","0"
"2001","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","318","308","6","21.53","35.25","0","0","0","0","314","251","274","23","16"
"2002","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","419","407","9","28.72","45.37","0","0","0","0","416","329","356","27","2"
"2003","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","438","423","12","2.9","46.69","0","0","0","0","435","332","362","30","4"
"2004","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","405","384","20","-10.3","41.88","41.72","42.01","44.84","5.28","404","314","348","34","4"
"2005","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","457","440","13","9.51","45.86","44.61","44.1","38.95","0","453","347","377","30","0"
"2006","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","447","433","13","-5.16","43.5","42.47","41.9","35.98","0","446","342","370","28","0"
"2007","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","428","408","15","-6.55","40.65","34.76","34.21","28.39","2.58","423","288","310","22","2"
"2008","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","417","403","13","-4.95","38.63","32.39","32.6","34.98","6.48","416","276","303","27","5"
"2009","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","492","468","17","15.02","44.44","37.11","38.08","49","6.45","485","325","363","38","5"
"2010","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","472","441","25","-5.47","42","32.99","32.08","21.8","5.13","466","293","310","17","4"
"2011","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","356","337","16","-25.76","31.18","24.94","24.38","17.87","2.55","353","225","239","14","2"
"2012","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","300","275","20","-18.25","25.49","19.64","20.68","33.01","1.27","295","183","209","26","1"
"2013","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","272","249","17","-12.51","22.3","19.42","19.48","20.21","3.79","266","188","204","16","3"
"2014","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","241","219","15","-14.28","19.12","14.36","14.23","12.59","1.26","234","144","154","10","1"
"2015","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","287","270","11","16.54","22.28","17.38","17.02","12.46","2.49","281","178","188","10","2"
"2016","Calgary, Alberta, municipal","48014","Total assaults against a peace officer","291","274","13","-0.98","22.07","20.34","20.01","15.86","1.22","287","213","226","13","1"
"1998","Calgary, Alberta, municipal","48014","Total other assaults","8","1","1","0","0.95","0","0","0","0","2","3","3","0","0"
"1999","Calgary, Alberta, municipal","48014","Total other assaults","5","2","2","-39.06","0.58","0","0","0","0","4","1","3","2","3"
"2000","Calgary, Alberta, municipal","48014","Total other assaults","8","3","1","56.29","0.91","0","0","0","0","4","1","2","1","0"
"2001","Calgary, Alberta, municipal","48014","Total other assaults","7","6","1","-14.39","0.78","0","0","0","0","7","2","6","4","0"
"2002","Calgary, Alberta, municipal","48014","Total other assaults","7","5","0","-2.31","0.76","0","0","0","0","5","4","6","2","0"
"2003","Calgary, Alberta, municipal","48014","Total other assaults","8","5","1","12.5","0.85","0","0","0","0","6","2","2","0","1"
"2004","Calgary, Alberta, municipal","48014","Total other assaults","19","14","0","130.41","1.96","1.33","1.21","0","0","14","10","10","0","0"
"2005","Calgary, Alberta, municipal","48014","Total other assaults","14","12","0","-28.49","1.41","1.03","0.94","0","0","12","8","8","0","0"
"2006","Calgary, Alberta, municipal","48014","Total other assaults","12","6","1","-16.89","1.17","0.37","0.57","2.57","1.29","7","3","5","2","1"
"2007","Calgary, Alberta, municipal","48014","Total other assaults","9","4","0","-26.8","0.85","0.12","0.22","1.29","0","4","1","2","1","0"
"2008","Calgary, Alberta, municipal","48014","Total other assaults","9","6","1","-2.45","0.83","0.59","0.54","0","0","7","5","5","0","0"
"2009","Calgary, Alberta, municipal","48014","Total other assaults","10","2","2","8.32","0.9","0.23","0.21","0","0","4","2","2","0","0"
"2010","Calgary, Alberta, municipal","48014","Total other assaults","8","4","1","-21.18","0.71","0.34","0.41","1.28","0","5","3","4","1","0"
"2011","Calgary, Alberta, municipal","48014","Total other assaults","4","1","0","-50.78","0.35","0.11","0.1","0","0","1","1","1","0","0"
"2012","Calgary, Alberta, municipal","48014","Total other assaults","6","7","0","45.52","0.51","0.21","0.2","0","0","7","2","2","0","0"
"2013","Calgary, Alberta, municipal","48014","Total other assaults","7","4","3","12.58","0.57","0.31","0.29","0","1.26","7","3","3","0","1"
"2014","Calgary, Alberta, municipal","48014","Total other assaults","4","3","0","-44.72","0.32","0.1","0.09","0","0","3","1","1","0","0"
"2015","Calgary, Alberta, municipal","48014","Total other assaults","9","7","1","120.2","0.7","0.49","0.54","1.25","0","8","5","6","1","0"
"2016","Calgary, Alberta, municipal","48014","Total other assaults","6","3","2","-34.89","0.45","0.19","0.18","0","1.22","5","2","2","0","1"
"1998","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","3","1","0","0","0.36","0","0","0","0","1","3","3","0","0"
"1999","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2000","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","1","1","0","0","0.11","0","0","0","0","1","1","1","0","0"
"2001","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2002","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","2","2","0","0","0.22","0","0","0","0","2","3","3","0","0"
"2003","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2004","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","4","4","0","0","0.4","0.51","0.47","0","0","4","4","4","0","0"
"2006","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2007","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","1","1","0","0","0.09","0.12","0.11","0","0","1","1","1","0","0"
"2009","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","2","1","0","94.98","0.18","0.11","0.1","0","0","1","1","1","0","0"
"2010","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","1","2","0","-50.73","0.09","0.23","0.21","0","0","2","2","2","0","0"
"2011","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2012","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","2","1","0","0","0.17","0","0","0","0","1","0","0","0","0"
"2013","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","1","0","-100","0","0.1","0.1","0","0","1","1","1","0","0"
"2014","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Calgary, Alberta, municipal","48014","Unlawfully causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1998","Calgary, Alberta, municipal","48014","Criminal negligence causing bodily harm","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1999","Calgary, Alberta, municipal","48014","Criminal negligence causing bodily harm","1","1","0","0","0.12","0","0","0","0","1","1","1","0","0"
"2000","Calgary, Alberta, municipal","48014","Criminal negligence causing bodily harm","1","1","0","-2.32","0.11","0","0","0","0","1","0","1","1","0"
"2001","Calgary, Alberta, municipal","48014","Criminal negligence causing bodily harm","4","4","0","291.36","0.44","0","0","0","0","4","1","5","4","0"
"2002","Calgary, Alberta, municipal","48014","Criminal negligence causing bodily harm","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2003","Calgary, Alberta, municipal","48014","Criminal negligence causing bodily harm","1","1","0","0","0.11","0","0","0","0","1","0","0","0","0"
"2004","Calgary, Alberta, municipal","48014","Criminal negligence causing bodily harm","14","11","0","1258.2","1.45","1.06","0.97","0","0","11","8","8","0","0"
"2005","Calgary, Alberta, municipal","48014","Criminal negligence causing bodily harm","5","5","0","-65.34","0.5","0.39","0.35","0","0","5","3","3","0","0"
"2006","Calgary, Alberta, municipal","48014","Criminal negligence causing bodily harm","6","5","0","16.35","0.58","0.25","0.45","2.57","0","5","2","4","2","0"
"2007","Calgary, Alberta, municipal","48014","Criminal negligence causing bodily harm","3","1","0","-51.2","0.28","0.12","0.22","1.29","0","1","1","2","1","0"
